Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
201104,E,1
201109,E,1
201111,E,1
201203,E,1
201204,E,3
201205,E,3
201206,E,1
201208,E,1
201209,E,3
201210,E,3
201211,E,4
201212,E,5
201301,E,5
201302,E,2
201304,E,4
201305,E,4
201306,E,1
201307,E,4
201308,E,6
201309,E,2
201310,E,7
201311,E,4
201312,E,5
201401,E,7
201402,E,10
201403,E,9
201404,E,11
201405,E,22
201406,E,10
201407,E,18
201408,E,21
201409,E,23
201410,E,23
201411,E,11
201412,E,16
201501,E,19
201502,E,14
201503,E,21
201504,E,18
201505,E,23
201506,E,16
201507,E,13
201508,E,23
201509,E,19
201510,E,21
201511,E,30
201512,E,13
201601,E,17
201602,E,14
201603,E,15
201604,E,19
201605,E,11
201606,E,16
201607,E,7
201608,E,26
201609,E,14
201610,E,24
201611,E,20
201612,E,17
201701,E,16
201702,E,8
201703,E,19
201704,E,13
201705,E,12
201706,E,10
201707,E,10
201708,E,19
201709,E,28
201710,E,25
201711,E,27
201712,E,8
201801,E,30
201802,E,17
201803,E,17
201804,E,12
201805,E,10
201806,E,16
201807,E,14
201808,E,22
201809,E,24
201810,E,25
201811,E,16
201812,E,9
201901,E,18
201902,E,9
201903,E,15
201904,E,16
201905,E,16
201906,E,16
201907,E,11
201908,E,18
201909,E,18
201910,E,18
201911,E,16
201912,E,13
202001,E,10
202002,E,14
202003,E,16
202004,E,12
202005,E,17
202006,E,8
202007,E,6
202008,E,4
202009,E,11
202010,E,12
202011,E,10
202012,E,5
202101,E,17
202102,E,14
202103,E,5
202104,E,6
202105,E,14
202106,E,13
202107,E,11
202108,E,23
202109,E,10
202110,E,9
202111,E,12
202112,E,10
202201,E,11
202202,E,12
202203,E,21
202204,E,11
202205,E,10
202206,E,11
202207,E,12
202208,E,24
202209,E,30
202210,E,9
202211,E,20
202212,E,18
202301,E,23
202302,E,17
202303,E,11
202304,E,19
202305,E,16
202306,E,19
202307,E,12
202308,E,15
202309,E,20
202310,E,19
202311,E,15
202312,E,10
202401,E,17
202402,E,18
202403,E,17
202404,E,13
202405,E,22
202406,E,29
202407,E,11
202408,E,14
200911,F,1
201001,F,1
201010,F,1
201101,F,1
201102,F,2
201103,F,4
201104,F,5
201105,F,6
201106,F,12
201107,F,8
201108,F,20
201109,F,9
201110,F,12
201111,F,16
201112,F,16
201201,F,14
201202,F,15
201203,F,16
201204,F,18
201205,F,13
201206,F,13
201207,F,16
201208,F,28
201209,F,23
201210,F,25
201211,F,36
201212,F,23
201301,F,24
201302,F,35
201303,F,42
201304,F,47
201305,F,38
201306,F,48
201307,F,80
201308,F,53
201309,F,71
201310,F,86
201311,F,99
201312,F,97
201401,F,109
201402,F,123
201403,F,156
201404,F,353
201405,F,438
201406,F,285
201407,F,237
201408,F,398
201409,F,409
201410,F,429
201411,F,344
201412,F,206
201501,F,237
201502,F,264
201503,F,331
201504,F,365
201505,F,396
201506,F,296
201507,F,182
201508,F,375
201509,F,342
201510,F,359
201511,F,343
201512,F,215
201601,F,192
201602,F,245
201603,F,279
201604,F,340
201605,F,314
201606,F,248
201607,F,129
201608,F,339
201609,F,297
201610,F,291
201611,F,257
201612,F,163
201701,F,159
201702,F,196
201703,F,279
201704,F,238
201705,F,333
201706,F,224
201707,F,167
201708,F,266
201709,F,246
201710,F,295
201711,F,260
201712,F,186
201801,F,187
201802,F,184
201803,F,246
201804,F,282
201805,F,290
201806,F,234
201807,F,148
201808,F,299
201809,F,301
201810,F,307
201811,F,273
201812,F,177
201901,F,235
201902,F,270
201903,F,278
201904,F,302
201905,F,362
201906,F,283
201907,F,220
201908,F,337
201909,F,364
201910,F,355
201911,F,347
201912,F,231
202001,F,214
202002,F,293
202003,F,304
202004,F,249
202005,F,245
202006,F,245
202007,F,244
202008,F,310
202009,F,306
202010,F,288
202011,F,261
202012,F,227
202101,F,243
202102,F,263
202103,F,325
202104,F,356
202105,F,309
202106,F,257
202107,F,208
202108,F,471
202109,F,428
202110,F,345
202111,F,334
202112,F,245
202201,F,317
202202,F,339
202203,F,463
202204,F,421
202205,F,496
202206,F,316
202207,F,264
202208,F,547
202209,F,472
202210,F,437
202211,F,410
202212,F,245
202301,F,382
202302,F,326
202303,F,521
202304,F,430
202305,F,534
202306,F,368
202307,F,311
202308,F,540
202309,F,521
202310,F,523
202311,F,503
202312,F,300
202401,F,491
202402,F,479
202403,F,552
202404,F,556
202405,F,512
202406,F,394
202407,F,343
202408,F,364
202409,F,3
201107,G,4
201108,G,2
201109,G,3
201110,G,1
201111,G,3
201112,G,1
201201,G,1
201202,G,3
201203,G,2
201205,G,1
201207,G,2
201208,G,3
201209,G,1
201210,G,3
201211,G,5
201212,G,4
201301,G,2
201302,G,3
201303,G,3
201304,G,5
201305,G,3
201306,G,4
201307,G,6
201308,G,5
201309,G,11
201310,G,8
201311,G,8
201312,G,10
201401,G,6
201402,G,12
201403,G,20
201404,G,34
201405,G,45
201406,G,26
201407,G,21
201408,G,34
201409,G,44
201410,G,49
201411,G,37
201412,G,17
201501,G,25
201502,G,24
201503,G,37
201504,G,42
201505,G,47
201506,G,33
201507,G,29
201508,G,47
201509,G,43
201510,G,38
201511,G,42
201512,G,27
201601,G,29
201602,G,30
201603,G,40
201604,G,30
201605,G,37
201606,G,30
201607,G,22
201608,G,43
201609,G,40
201610,G,38
201611,G,34
201612,G,16
201701,G,24
201702,G,23
201703,G,42
201704,G,27
201705,G,33
201706,G,24
201707,G,8
201708,G,26
